,symbol,date,price_adj,order_type,quantity,commision_cost,total_cost,balance
4596,ITDCEM,2024-09-06,532.1816499999999,Buy,20,5.321816499999999,10648.954816499998,326704.9125040308
4597,COALINDIA,2024-09-06,474.7442699999999,Buy,22,5.222186969999999,10449.596126969998,316255.3163770608
4598,AADHARHFC,2024-09-06,434.26529999999997,Sell,3,5.211183599999999,1297.5847164,317552.9010934608
4599,NUVOCO,2024-09-06,351.648,Sell,6,5.27472,2104.61328,319657.5143734608
4600,KCP,2024-09-06,253.746,Sell,8,4.948047000000001,2025.019953,321682.5343264608
4601,IRFC,2024-09-06,171.63145999999998,Buy,52,4.46241796,8929.29833796,312753.2359885008
4602,PVRINOX,2024-09-06,1581.417,Sell,1,3.9535424999999997,1577.4634575,314330.6994460008
4603,RAMASTEEL,2024-09-06,14.72526,Sell,1374,4.343951700000001,20228.1632883,334558.8627343008
4604,BLKASHYAP,2024-09-06,107.09698999999998,Buy,78,4.176782609999999,8357.742002609999,326201.1207316908
4605,NDL,2024-09-06,5.1748199999999995,Sell,4022,3.83195421,20809.29408579,347010.4148174808
4606,EASEMYTRIP,2024-09-06,21.578400000000002,Sell,214,3.7438524,4614.0337476,351624.44856508076
4607,SWSOLAR,2024-09-06,732.267,Sell,2,3.6613350000000002,1460.872665,353085.32123008074
4608,MAXHEALTH,2024-09-09,906.093,Sell,1,3.6243719999999997,902.468628,353987.78985808074
4609,INDIANB,2024-09-09,526.526,Buy,13,3.422419,6848.260419,347139.52943908074
4610,PETRONET,2024-09-09,341.51117,Buy,21,3.585867285,7175.320437285,339964.20900179574
4611,GMRAIRPORT,2024-09-09,90.69059999999999,Buy,77,3.4915880999999995,6986.667788099999,332977.5412136957
4612,GAIL,2024-09-09,214.22400999999996,Buy,32,3.4275841599999994,6858.595904159999,326118.9453095357
4613,CANBK,2024-09-09,103.70359999999998,Buy,64,3.3185151999999993,6640.348915199998,319478.59639433573
4614,PNB,2024-09-09,109.5094,Buy,60,3.285282,6573.849282,312904.74711233575
4615,IDBI,2024-09-09,88.4884,Buy,74,3.2740708,6551.4156708,306353.33144153573
